,utime,rotation_rate_x,rotation_rate_y,rotation_rate_z,linear_accel_x,linear_accel_y,linear_accel_z,brake_sensor,steering_sensor,throttle_sensor,meanEffTorque,FL_wheel_speed,FR_wheel_speed,RL_wheel_speed,RR_wheel_speed,value,brake,steering,steering_speed,throttle,vehicle_speed,Severity
0,1531883530,0.006160582,-0.005749339,0.319220729,-0.041864123,1.322542459,9.758100458,0.170893197,0.189161434,0.175445724,7.509090909,122.65638,136.7578036,119.9276836,134.4931145,3.124996159,0.0,191.9,65.7,55.0,14.74,0
1,1531883531,-0.001484332,-0.002749213,0.374248973,0.405603943,1.38566824,9.75664526,0.170958686,0.188631004,0.213798503,33.96969697,121.311197,138.0720697,117.3652818,134.6918424,3.589964177,0.0,206.35,-0.05,141.5,14.91,0
2,1531883532,-0.008092592,-0.001479209,0.352713046,0.868281625,1.337956905,9.786205908,0.170997364,0.188297686,0.245590507,56.96464646,136.1450242,152.1759364,132.6898212,149.3192758,2.969474982,0.0,156.2,-121.55,192.0,16.67,0
3,1531883533,-0.00352649,-0.005734992,0.092297652,0.833338434,0.053723816,9.852845568,0.171000082,0.188506713,0.243473594,54.125,162.647097,166.928019,161.888574,166.306272,0.647746337,0.0,22.6,-83.7,183.5,19.015,0
4,1531883534,-0.005878325,0.008738765,0.000412909,0.514037875,-0.355520735,9.723909234,0.171009329,0.188395828,0.208705787,33.645,180.996765,180.812868,180.595194,180.712788,-0.010795851,0.0,-0.8,0.0,91.0,20.775,0
5,1531883535,-0.001611983,0.00753451,-0.000687728,-0.238022365,-0.452529185,9.728856211,0.171004856,0.188346903,0.127209569,-11.3,182.482119,182.080548,182.280708,182.213154,-0.016201592,0.0,-0.85,-1.0,0.0,20.71,0
6,1531883536,9.78e-05,0.001711524,-0.000340437,-0.441414296,-0.420895857,9.78547884,0.172381181,0.18848608,0.121464071,-22.85353535,170.4826576,170.046703,170.141897,170.1448455,-0.025634523,0.0,-1.8,-5.0,0.0,19.285,0
7,1531883537,-0.001768316,-0.005508875,-0.019358618,-0.503257904,-0.552038114,9.799523792,0.192689037,0.188593702,0.121471546,-25.37878788,155.3649333,154.2217636,154.9559364,154.1720606,-0.198085874,0.0,-13.1,-15.0,0.0,17.515,0
8,1531883538,0.009015735,0.00330119,-0.050196262,-0.438589459,-0.620001579,9.761776657,0.170998481,0.188507383,0.139912665,-22.59090909,139.4641758,136.8429727,139.0294848,136.7503061,-0.457924015,0.0,-27.1,-5.0,0.5,15.63,0
9,1531883539,0.006458914,-0.004823655,-0.050964641,0.000177204,-0.517584293,9.760658913,0.171010783,0.188379056,0.184641337,7.247474747,128.5779485,126.0174,127.9836182,125.6530515,-0.488067546,0.0,-27.95,0.0,82.0,14.53,0
10,1531883540,0.00446048,0.00404732,-0.027425073,0.50779953,-0.422990557,9.787985058,0.170997641,0.188405788,0.21101404,36.515,134.931609,133.419567,134.339469,133.144764,-0.220493262,0.0,-8.45,29.85,123.5,15.485,0
11,1531883541,0.031640167,-0.001871368,0.036282866,0.633490542,0.068842963,9.753050756,0.17099772,0.188501459,0.230068053,45.295,148.547493,149.780145,147.994551,149.576232,0.352574138,0.0,24.85,39.8,172.0,17.23,0
12,1531883542,0.019917406,0.000826663,0.082458149,0.721286307,0.603588358,9.734442749,0.170994712,0.188458117,0.240288602,49.27040816,166.8055316,170.054302,165.9974878,169.8049531,0.636357623,0.0,36.85,-6.0,180.0,19.43,0
13,1531883543,-0.004321698,0.001162869,0.035222496,0.588465865,0.39711142,9.824094229,0.171008646,0.188410333,0.226285405,40.58,185.646732,186.902736,184.959516,186.59499,0.224720425,0.0,8.85,-17.95,144.5,21.39,0
14,1531883544,0.001018317,0.001401475,0.004916517,0.261117728,0.2204134,9.74840785,0.171004299,0.188489681,0.195229621,19.655,197.23683,197.061273,196.758114,196.927416,0.044604858,0.0,2.25,0.95,82.5,22.53,0
15,1531883545,0.000154827,0.003834493,0.014618101,0.034698019,0.30003731,9.745663338,0.170996381,0.188373546,0.188654986,7.685,198.384831,198.473652,197.766003,198.4086,0.113962876,0.0,6.85,5.95,85.0,22.595,0
16,1531883546,0.00133044,0.002545223,0.019972049,0.1082405,0.351110698,9.767760394,0.170992935,0.188426342,0.183425215,10.28350515,200.5984948,201.0180742,200.0873474,200.9523,0.148488734,0.0,8.95,0.0,64.5,22.91,0
17,1531883547,0.009310526,-0.002525735,0.033602671,-0.06161349,0.458095202,9.780261211,0.171001578,0.188447899,0.174764916,-0.267676768,198.1630333,199.4325667,197.7392939,199.2463909,0.251219454,0.0,15.65,0.0,51.5,22.62,0
18,1531883548,-0.001795334,-0.002901461,0.028436024,-0.048688205,0.471502032,9.764351989,0.171008202,0.188393567,0.181359124,1.378787879,194.1029697,195.0595424,193.5469697,194.9475,0.185093948,0.0,8.6,-27.9,64.5,22.135,0
19,1531883549,-0.00546948,-0.003835019,-0.025722182,0.323926092,0.455587373,9.808140417,0.170997683,0.188493502,0.217393253,25.79166667,194.7155438,193.262125,193.9592969,192.7669375,-0.17117087,0.0,-12.75,-27.9,149.5,22.175,0
20,1531883550,-0.00861466,-0.00762626,0.00826318,0.24294562,0.42551661,9.7922262,0.204842,0.23564484,0.19025456,22.56625,184.9788547,182.946899,182.8893865,181.1697236,-0.025456476,5.5,-11.1625,-20.9,130.5,16.63,1
21,1531883551,-0.01162659,-0.012254595,0.00985152,0.208156793,0.409978181,9.782134138,0.254491516,0.255274824,0.186499413,28.945621,166.9356797,167.564962,167.9865614,166.8952346,0.254897578,15.0,0.8,-13.59,120.0,14.59,1
22,1531883552,0.01262595,0.0099626,-0.011257833,0.1561485,0.38513482,9.7605212,0.2349516,0.238542542,0.162594116,30.564864,125.2496372,126.5597513,125.4548623,126.254879,0.51248669,14.5,0.85,-8.75,115.0,11.25,1
23,1531883553,-0.01949594,-0.018545226,0.009854318,0.10554268,0.3595159,9.722459319,0.20594751,0.195842428,0.191461616,38.6881861,108.5739165,107.5162658,107.5698461,107.5618612,0.898562356,8.5,13.85,0.0,110.5,10.12,1
24,1531883554,-0.01126265,-0.00975811,0.11217389,0.08315165,0.345841863,9.7422625,0.185959475,0.189011843,0.195654955,43.45975131,90.57351918,90.79313686,91.25492469,90.948662,1.256978177,5.0,42.59,12.25,100.0,8.59,1
25,1531883555,-0.010996588,0.006193974,0.084537977,0.067968977,0.336536839,9.761916029,0.171026497,0.188608622,0.202801181,46.76363636,82.46971091,86.10291818,82.13686909,85.83224727,1.306204412,0.0,76.3,17.9,105.0,9.97,0
26,1531883556,-0.012834782,-0.007328688,0.119180535,0.17825593,0.387026873,9.78871762,0.171046448,0.188553448,0.166890365,16.06632653,95.30279694,100.6131643,94.85430918,100.3208388,1.536089727,0.0,90.45,22.85,19.0,11.35,0
27,1531883557,-0.005810689,0.000230101,0.172656634,-0.178590827,0.438312861,9.807089691,0.171092462,0.188849819,0.134470766,-6.995,96.042606,103.6662,95.088093,102.889329,2.219001033,0.0,136.35,59.7,0.0,11.435,0
28,1531883558,-0.007791735,-0.01099972,0.261929208,-0.136790398,0.669542258,9.790933195,0.171173961,0.188851424,0.163982951,1.737373737,90.44350909,102.026,87.99247576,99.84327879,3.386284179,0.0,203.0,55.75,54.0,11.075,0
29,1531883559,-0.006207036,-0.000766445,0.331859986,0.547878035,0.863404604,9.780298243,0.17123592,0.188426698,0.213102902,41.94,97.881576,112.605012,94.156098,109.393278,3.894217412,0.0,223.4,0.0,136.0,12.23,0
30,1531883560,-0.012333115,-0.00607119,0.3481528,0.79479282,1.158439185,9.796397505,0.171278886,0.188329319,0.234237224,53.845,120.216096,136.081278,116.640321,132.901236,3.31438025,0.0,175.3,-141.5,175.5,14.875,0
31,1531883561,-0.002387542,-0.007973912,0.129749515,1.087937374,0.309629784,9.819728632,0.171281603,0.188452281,0.275863498,73.935,154.724514,160.729314,153.374268,159.436614,1.008176976,0.0,44.8,-82.75,255.0,18.35,0
32,1531883562,-0.002867426,0.006857893,0.003161291,1.117232038,-0.333924993,9.728744669,0.171271118,0.188348734,0.278216419,73.555,193.93836,193.877478,192.872925,193.203606,0.018586857,0.0,-0.3,-12.0,253.5,22.41,0
33,1531883563,0.014551598,-0.021728525,-0.011612403,0.803524969,-0.45437864,9.887044058,0.171262719,0.188424878,0.2517932,55.48,226.335924,225.597,225.353889,224.659584,-0.070650216,0.0,-3.5,-0.05,196.0,26.05,0
34,1531883564,-0.024921192,0.012599305,-0.007079866,0.051272227,-0.316655066,9.725711451,0.171283921,0.188447372,0.165997462,4.277777778,239.9944515,239.3196697,239.6621152,239.4258152,-0.057286797,0.0,-3.4,-2.0,25.5,27.295,0
35,1531883565,0.008770438,-0.001230899,-0.020364041,-0.386554638,-0.58400813,9.784166002,0.175426571,0.188493424,0.121510575,-17.85,234.767664,233.193072,234.381939,233.378637,-0.127144592,0.0,-7.55,-4.0,0.0,26.55,0
36,1531883566,0.032278742,-0.008577548,-0.017002684,-0.491858577,-0.340940737,9.873184738,0.210818127,0.188556119,0.12150374,-26.1969697,218.9991333,217.5623788,218.7822091,217.9498939,-0.096185095,0.0,-4.4,9.95,0.0,24.69,0
37,1531883567,-0.006794303,0.019044557,0.005300239,-0.715058445,0.054789793,9.650249138,0.253062766,0.188787216,0.121622668,-39.25757576,197.5737576,197.3618879,197.5981879,197.9549545,0.041992622,0.0,3.9,-1.05,0.0,22.35,0
38,1531883568,-0.028541083,0.001788567,0.018638614,-1.054150805,-0.212255094,9.746367785,0.285648735,0.188850507,0.121661131,-57.3989899,172.1843545,172.5651303,172.4299212,173.2121121,0.135161972,0.0,7.35,-6.0,0.0,19.42,0
39,1531883569,0.003851603,0.007212463,0.015456149,-0.736067112,-0.319054054,9.996572037,0.229670172,0.188481254,0.128556944,-40.87244898,141.093652,141.2034337,140.5758061,141.1659888,0.125492967,0.0,7.2,0.0,0.0,15.805,0
40,1531883570,0.009298437,-0.032393737,0.011952878,0.693962101,-0.320326857,9.580015254,0.171134918,0.188442708,0.268175221,58.4,139.263822,139.555722,138.315147,138.820551,0.117209768,0.0,6.6,0.0,254.5,16.14,0
41,1531883571,0.008099758,-0.017774031,0.005440215,1.500500914,-0.221045544,9.886888285,0.17109519,0.188424938,0.309769616,100.185,177.740412,177.795456,176.275074,176.5578,0.055627728,0.0,2.85,-1.0,314.0,20.665,0
42,1531883572,0.024155016,0.010093047,0.003852104,1.305464946,-0.094703642,9.736684999,0.171092662,0.188345759,0.295459737,86.57,216.012672,215.981814,214.540662,214.815048,0.040477535,0.0,2.35,0.95,290.5,24.92,0
43,1531883573,-0.003346475,0.011616818,0.004180554,0.969573415,0.061736043,9.735302343,0.171094044,0.188304402,0.266935043,65.335,247.775562,247.700502,246.37611,246.639237,0.024203086,0.0,1.25,1.95,235.0,28.49,0
44,1531883574,-0.035272196,0.001148593,0.005632283,0.57215987,-0.146060093,9.703851014,0.171149068,0.189360747,0.239237126,42.75520833,269.9397375,269.795525,268.7517219,268.9767281,0.015891682,0.0,0.9,0.0,175.5,30.985,0
45,1531883575,0.000330542,0.000485131,-0.031429378,-0.015667567,-0.404274239,9.802534192,0.372589501,0.224288093,0.125389836,0.0,0.0,0.0,0.0,0.0,0.09424778,14.0,5.4,0.0,0.0,0.0,0
46,1531883576,0.000398866,0.000524782,-0.031681635,-0.028985625,-0.398608759,9.776612436,0.34233425,0.223997709,0.125162411,0.89,0.0,0.0,0.0,0.0,0.09424778,8.5,5.4,0.0,0.0,0.0,0
47,1531883577,6.1e-05,-0.002284986,-0.031274896,0.365217321,-0.388958934,9.779103718,0.194879623,0.222696624,0.149648296,29.525,1.421136,1.318554,1.460751,1.224312,0.106015257,0.0,6.25,6.95,17.0,0.0,0
48,1531883578,0.000418995,0.001034983,-0.023413053,0.702121812,-0.375254334,9.777406201,0.194851938,0.222566815,0.183566844,49.6,20.735742,21.028476,20.79579,21.13773,0.512895277,0.0,31.8,1.9,61.5,2.435,0
49,1531883579,0.000914594,0.003449585,-0.020358763,0.618575821,-0.34038934,9.788586149,0.194848364,0.222389746,0.186152055,45.335,43.543974,43.991832,43.516869,44.057718,0.320888679,0.0,16.4,-17.0,83.0,5.085,0
50,1531883580,0.003110949,0.004339367,-0.023311216,-0.088971566,-0.299729658,9.761249745,0.237224789,0.223174781,0.125136072,5.035353535,55.20279697,55.50396364,55.35401212,55.65812727,0.17837265,1.5,11.05,-36.9,0.0,6.39,0
51,1531883581,0.001006041,-0.000306966,-0.047645522,-0.56409848,-0.351382293,9.770761875,0.314575952,0.223742557,0.125346741,-1.838383838,47.71238182,46.88722727,47.48408485,46.78866364,-0.414996553,5.5,-24.15,0.0,0.0,5.385,0
52,1531883582,0.005429636,0.004253294,-0.04382231,-0.377775925,-0.29380088,9.76776623,0.305731813,0.223490888,0.125122165,-0.02020202,34.61858182,33.98339394,34.36459091,33.83007273,-0.418460869,3.5,-24.0,0.0,0.0,3.91,0
53,1531883583,0.000156718,-0.019716931,-0.041384634,-0.288224292,-0.259295608,9.764364252,0.279754972,0.223191526,0.125198542,9.305,25.656342,25.105902,25.271868,24.776055,-0.440766874,0.0,-25.45,0.0,0.0,2.885,0
54,1531883584,0.001259508,0.020497958,-0.040322124,0.482210597,-0.267448201,9.762820768,0.217096797,0.222713829,0.125174852,19.795,29.680392,29.209182,29.487738,29.137041,-0.318117744,0.0,-17.25,22.85,0.0,3.435,0
55,1531883585,0.002594761,0.002502131,-0.030518336,0.076069158,-0.215306386,9.87467926,0.208574896,0.222793761,0.125304426,13.51,39.171312,39.099588,39.05622,39.0729,0.062705901,0.0,3.85,0.95,0.0,4.52,0
56,1531883586,-0.001859666,0.000995088,-0.017555222,-0.252982672,-0.19883345,9.667574333,0.276235357,0.223136956,0.125181875,6.545,38.446566,38.97699,38.823534,39.426933,0.474834276,3.0,30.25,20.9,0.0,4.21,0
57,1531883587,0.001625274,3.61e-05,-0.025406025,-0.445083838,-0.255667936,9.80961107,0.300693785,0.223604245,0.125372718,0.878787879,31.45864848,31.70379394,31.1671697,31.49529394,0.202916563,5.0,10.55,-23.0,0.0,3.6,0
58,1531883588,-0.002877595,-0.004673189,-0.03299059,0.135109912,-0.205344267,9.774277897,0.210400254,0.222641753,0.151971009,21.63,24.910746,24.776472,24.507924,24.455799,-0.071683166,0.0,-4.05,0.0,39.0,2.8,0
59,1531883589,-0.00417567,-0.004322315,-0.034187658,0.960179629,-0.263884846,9.768964815,0.194982465,0.222554268,0.218151291,68.32,44.60232,44.463042,44.475552,44.321262,-0.042867424,0.0,-2.9,13.9,131.5,5.155,0
60,1531883590,-0.003417492,0.000971418,-0.011419432,0.946858845,-0.23143047,9.811657085,0.194955874,0.222692635,0.226219617,64.905,76.321842,76.988208,76.051209,76.889379,0.342617318,0.0,20.5,0.95,144.5,8.875,0
61,1531883591,0.001258417,-8.05e-05,-0.017088902,0.67012448,-0.289368582,9.770727119,0.194981714,0.222334359,0.213462677,48.105,102.466908,102.983154,102.185433,102.810099,0.188765455,0.0,9.25,-21.0,121.0,11.855,0
62,1531883592,0.008222867,0.004564939,-0.04572578,-0.024300542,-0.330930355,9.751886888,0.201942397,0.2226258,0.135717866,2.929292929,114.3721485,113.4956061,114.2655818,113.5461515,-0.134886393,0.0,-8.25,-9.0,0.0,13.065,0
63,1531883593,0.011239168,0.008015599,-0.041045334,-0.710557261,-0.195069886,9.805801697,0.305417253,0.223653288,0.125170471,-35.305,103.44936,102.721278,103.407243,102.959802,-0.090003874,0.5,-3.8,11.9,0.0,11.795,0
64,1531883594,0.005385906,0.010024801,-0.032484198,-1.040143786,-0.109358886,9.734663037,0.355675101,0.223934594,0.125200275,-40.05714286,81.24947143,80.95161429,81.05765143,81.03084429,-0.012691037,6.5,-0.3,4.9,0.0,8.72,0
